Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3Code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
5535,Medium,Burkina Faso,,854,BFA,BF,854.0,Country/Area,914,2022.0,22388.008,22673.762,11299.155,11374.607,82.872,99.337,16.724,596.507,26.29,571.508,2.521,27.495,793.031,133.798,34.952,4.665,1.983,28.853,104.1,196.524,101.475,95.049,8.662,59.766,57.953,61.505,50.982,49.275,52.578,11.197,10.444,11.765,4.289,3.994,4.471,37.542,47.42,762.151,62.093,79.384,181.497,192.427,170.295,349.366,388.272,311.843,158.714,177.501,140.149,278.503,318.367,240.675,-24.998,-1.102
5614,Medium,Cabo Verde,,132,CPV,CV,132.0,Country/Area,914,2022.0,590.503,593.149,294.911,298.239,147.183,98.884,26.961,6.548,11.027,5.293,0.892,77.707,9.908,1.411,16.686,1.879,0.906,27.639,103.3,3.36,1.799,1.561,5.659,74.722,70.29,79.011,60.908,56.511,65.142,16.449,13.661,18.436,6.826,5.264,7.684,0.113,11.38,9.809,0.134,13.504,41.392,53.304,28.591,148.137,208.325,84.551,61.095,87.817,31.414,134.241,194.151,71.117,-1.256,-2.115
5693,Medium,Côte d'Ivoire,,384,CIV,CI,384.0,Country/Area,914,2022.0,27810.491,28160.542,14215.57,13944.972,88.555,101.94,17.752,694.104,24.649,700.103,2.486,27.882,943.133,160.223,33.492,4.342,1.878,28.9,103,249.029,134.756,114.273,8.843,58.916,57.686,60.282,49.426,48.717,50.256,12.102,11.354,12.995,5.877,5.278,6.487,53.457,56.758,901.482,70.617,75.624,184.946,194.276,175.446,405.821,419.513,391.237,200.093,202.234,197.835,348.231,356.528,339.232,6,0.213
5772,Medium,Gambia,,270,GMB,GM,270.0,Country/Area,914,2022.0,2672.89,2705.992,1346.335,1359.657,267.391,99.02,16.986,69.208,25.559,66.204,2.447,28.326,88.535,9.102,32.696,4.586,2.021,30.413,103.2,19.327,10.168,9.158,7.137,62.906,61.481,64.344,52.069,50.822,53.31,12.205,11.609,12.792,5.159,4.851,5.424,2.476,27.994,86.361,3.838,43.891,148.789,158.782,138.623,315.302,341.212,290.491,153.764,165.996,141.981,267.062,291.768,243.833,-3,-1.108
5851,Medium,Ghana,,288,GHA,GH,288.0,Country/Area,914,2022.0,33154.506,33475.87,16695.114,16780.756,147.121,99.49,20.524,652.722,19.495,642.729,1.92,36.101,906.677,107.288,27.08,3.507,1.558,29.535,103.8,253.955,137.215,116.74,7.585,63.945,61.805,66.13,53.104,51.237,54.979,12.925,12.144,13.647,5.53,5.108,5.859,28.647,31.602,881.846,38.463,42.582,146.108,164.544,126.966,298.736,336.322,261.05,146.908,167.842,125.294,250.29,285.671,215.46,-9.999,-0.299
5930,Medium,Guinea,,324,GIN,GN,324.0,Country/Area,914,2022.0,13695.093,13859.341,6854.02,7005.32,56.403,97.84,17.849,332.496,23.985,328.495,2.37,29.247,469.311,82.895,33.855,4.303,1.781,28.89,104.5,136.815,68.883,67.932,9.87,58.985,57.643,60.238,51.496,50.376,52.488,12.268,11.682,12.723,5.222,4.886,5.468,29.964,63.929,446.098,42.952,92.407,204.967,214.805,194.851,365.931,388.509,345.12,166.389,177.063,156.464,281.224,302.55,262.302,-4,-0.289
6009,Medium,Guinea-Bissau,,624,GNB,GW,624.0,Country/Area,914,2022.0,2083.089,2105.566,1039.86,1065.706,74.878,97.575,18.444,46.37,22.014,44.953,2.135,32.466,64.479,9.891,30.611,3.925,1.701,29.495,104.1,18.109,9.462,8.647,8.597,59.861,57.671,61.929,50.327,48.395,52.084,11.537,10.782,12.103,5.029,4.758,5.244,3.229,50.096,61.89,4.667,72.866,170.666,188.141,152.738,373.161,418.655,330.642,175.421,200.947,150.292,313.653,358.534,272.823,-1.4,-0.665
6088,Medium,Liberia,,430,LBR,LR,430.0,Country/Area,914,2022.0,5245.853,5302.681,2640.702,2661.979,55.053,99.201,18.111,118.656,22.364,113.656,2.143,32.345,164.452,36.306,30.996,4.016,1.754,28.457,103.9,45.796,23.527,22.27,8.632,61.1,59.796,62.392,51.704,50.77,52.6,11.941,11.548,12.264,5.22,5.051,5.356,9.409,57.311,157.137,12.215,74.813,158.711,170.335,146.881,344.489,367.328,321.693,152.415,162.693,142.354,282.38,301.95,263.251,-5,-0.942
6167,Medium,Mali,,466,MLI,ML,466.0,Country/Area,914,2022.0,22248.667,22593.59,11406.819,11186.771,18.516,101.967,15.165,729.851,32.266,689.847,3.054,22.696,932.317,183.996,41.217,5.867,2.486,28.924,103.3,202.466,106.94,95.526,8.951,59.417,58.068,60.832,50.971,49.798,52.198,11.14,10.628,11.617,4.241,4.024,4.421,49.461,53.277,892.365,77.146,84.886,185.574,193.602,177.26,352.362,380.727,322.434,158.085,170.694,144.876,277.738,305.841,248.278,-39.998,-1.768
6246,Medium,Mauritania,,478,MRT,MR,478.0,Country/Area,914,2022.0,4673.674,4736.139,2321.228,2414.911,4.595,96.121,17.713,121.936,25.75,124.93,2.638,26.275,156.047,20.167,32.953,4.342,1.96,29.891,103.3,34.111,18.26,15.85,7.203,64.691,62.965,66.447,54.24,52.758,55.727,11.79,11.029,12.558,4.825,4.489,5.138,6.779,43.566,150.443,9.02,58.653,112.765,124.504,101.233,261.253,290.377,233.575,97.984,109.605,87.321,207.704,234.562,182.78,3,0.633
6325,Medium,Niger,,562,NER,NE,562.0,Country/Area,914,2022.0,25719.857,26207.977,13293.383,12914.594,20.69,102.933,14.486,975.24,37.195,976.239,3.725,18.608,1180.654,234.479,45.029,6.749,2.929,29.108,104,205.414,107.856,97.558,7.834,62.08,60.816,63.401,52.629,51.487,53.816,11.554,10.969,12.077,4.405,4.137,4.596,47.092,40.088,1140.79,81.583,71.757,150.591,155.034,145.965,308.188,334.149,280.585,130.121,139.158,120.551,243.814,269.6,216.52,1,0.038
6404,Medium,Nigeria,,566,NGA,NG,566.0,Country/Area,914,2022.0,215928.431,218541.212,110448.136,108093.075,239.952,102.179,17.117,5285.555,24.18,5225.561,2.391,28.99,8002.758,1154.052,36.611,5.143,1.95,29.447,103.8,2717.203,1380.004,1337.199,12.431,53.633,53.295,53.968,48.088,47.807,48.366,12.026,11.879,12.162,5.171,5.052,5.274,573.914,71.871,7570.882,872.823,110.814,287.561,287.478,287.681,459.314,466.085,452.524,237.915,238.936,236.875,357.252,364.597,349.871,-59.996,-0.274
6562,Medium,Senegal,,686,SEN,SN,686.0,Country/Area,914,2022.0,17096.667,17316.449,8516.043,8800.406,89.942,96.769,17.899,459.556,26.519,439.564,2.539,27.3,555.696,59.657,32.067,4.314,2.009,30.137,103.1,96.14,50.989,45.152,5.548,67.913,65.473,70.2,55.636,53.461,57.615,12.615,11.584,13.443,4.789,4.376,5.078,11.672,21.033,545.212,17.477,31.88,84.367,97.593,71.072,218.16,262.992,177.014,90.827,109.815,73.148,185.512,227.858,147.61,-19.999,-1.154
6641,Medium,Sierra Leone,,694,SLE,SL,694.0,Country/Area,914,2022.0,8513.55,8605.718,4312.192,4293.526,119.957,100.435,19.047,188.332,21.879,184.336,2.142,32.36,265.023,45.555,30.788,3.876,1.653,28.684,103.3,76.691,39.694,36.997,8.909,60.411,59.115,61.693,52.706,51.63,53.756,11.6,10.926,12.194,4.872,4.518,5.14,18.552,69.962,251.464,25.519,96.71,170.062,177.46,162.667,328.301,348.609,308.105,125.861,131.667,119.998,244.438,262.899,226.235,-4,-0.465
6957,Medium,Kazakhstan,,398,KAZ,KZ,398.0,Country/Area,5500,2022.0,19295.502,19397.998,9335.1,10062.898,7.185,92.768,29.538,204.996,10.57,204.992,1.057,65.577,402.511,14.124,20.754,3.047,1.45,28.763,106.5,197.515,100.472,97.043,10.184,69.489,65.776,72.995,55.269,51.605,58.706,12.331,10.392,13.681,5.553,4.563,6.017,3.431,8.495,399.544,3.846,9.504,44.944,60.095,29.768,204.723,278.27,134.454,86.527,121.005,52.979,195.514,268.819,125.819,0,0
7036,Medium,Kyrgyzstan,,417,KGZ,KG,417.0,Country/Area,5500,2022.0,6578.069,6630.623,3255.521,3375.102,34.571,96.457,23.819,115.096,17.348,105.108,1.585,43.732,154.761,9.13,23.326,2.946,1.405,28.038,105.7,39.665,23.474,16.19,5.978,70.484,66.218,74.929,56.637,52.481,60.94,13.322,11.255,15.131,5.575,4.566,6.232,2.036,13.128,152.979,2.307,14.802,46.528,63.202,29.771,194.884,276.696,115.115,81.249,120.909,43.007,181.449,262.571,102.983,-9.999,-1.507
7194,Medium,Turkmenistan,,795,TKM,TM,795.0,Country/Area,5500,2022.0,6387.2,6430.77,3185.86,3244.911,13.685,98.18,26.081,91.138,14.17,87.141,1.355,51.155,133.491,5.233,20.755,2.617,1.213,27.849,106.7,42.353,23.747,18.606,6.585,69.41,65.916,72.916,57.349,54.209,60.42,13.891,12.38,15.079,5.92,5.233,6.31,4.414,32.921,129.706,5.215,38.644,74.324,92.194,55.673,205.846,267.343,144.047,78.007,106.569,49.692,171.698,230.124,114.228,-4,-0.622
7273,Medium,Uzbekistan,,860,UZB,UZ,860.0,Country/Area,5500,2022.0,34353.048,34627.652,17327.897,17299.755,81.4,100.163,26.796,569.214,16.438,549.209,1.586,43.704,776.815,20.098,22.433,2.8,1.318,27.384,108,207.601,111.98,95.621,5.995,71.674,69.032,74.293,57.819,55.296,60.296,13.714,12.297,14.875,5.926,5.273,6.287,9.67,12.397,768.382,10.957,13.998,43.704,52.988,33.978,166.708,209.288,123.898,64.631,82.194,46.872,153.051,194.411,111.821,-19.999,-0.578
7431,Medium,China,5,156,CHN,CN,156.0,Country/Area,906,2022.0,1425925.386,1425887.337,727644.037,698243.3,148.53,104.211,38.467,235.284,0.165,-76.098,-0.005,...,10757.794,412.707,7.544,1.175,0.548,28.912,111.3,10522.51,5908.321,4614.189,7.379,78.587,75.963,81.343,64.336,61.739,67.055,18.044,16.272,19.729,8.044,7.069,8.786,63.358,5.88,10703.232,80.45,7.122,26.218,30.728,21.144,88.71,113.56,62.418,34.843,44.291,24.628,79.638,104.068,53.888,-311.38,-0.218
7826,Medium,Japan,,392,JPN,JP,392.0,Country/Area,906,2022.0,124278.31,123951.692,60239.861,63711.831,328.938,94.551,48.745,-753.228,-6.079,-653.236,-0.527,...,814.705,7.597,6.576,1.305,0.632,31.46,105.1,1567.933,790.805,777.129,12.655,84.82,81.782,87.832,70.07,67.037,73.074,22.584,20.101,24.883,10.931,9.281,12.164,1.371,1.681,813.535,1.927,2.347,12.237,15.299,9.031,51.032,65.401,36.162,20.507,26.16,14.622,48.138,62.37,33.417,99.994,0.807
7905,Medium,Mongolia,,496,MNG,MN,496.0,Country/Area,906,2022.0,3373.358,3398.366,1685.387,1712.979,2.182,98.389,26.871,50.862,14.968,50.016,1.472,47.089,69.481,2.806,20.447,2.774,1.334,29.189,104.5,18.619,11.394,7.225,5.479,72.667,68.079,77.375,58.543,54.114,63.054,15.398,13.032,17.281,7.481,6.349,8.197,0.616,8.836,68.948,0.752,10.66,42.807,56.707,28.303,180.982,258.362,102.824,75.475,107.672,42.473,170.855,246.789,94.758,-0.85,-0.25
7984,Medium,Republic of Korea,,410,KOR,KR,410.0,Country/Area,906,2022.0,51829.025,51815.81,25867.453,25948.357,523.694,99.688,43.928,-56.427,-1.09,-26.431,-0.051,...,285.686,2.336,5.515,0.874,0.422,32.531,105.8,342.113,186.72,155.392,6.605,84.024,80.695,87.101,69.308,65.989,72.372,21.404,18.721,23.619,10.476,8.549,11.595,0.655,2.29,285.127,0.812,2.788,8.726,10.183,7.132,43.183,60.842,24.787,14.543,19.642,9.14,39.849,57.323,21.661,29.998,0.579
8142,Medium,Afghanistan,,4,AFG,AF,4.0,Country/Area,5501,2022.0,40580.49,41128.771,20766.442,20362.329,63.344,101.985,16.87,1162.402,28.237,1096.562,2.666,26,1446.699,186.575,35.143,4.523,2.028,28.878,105.2,284.297,163.41,120.887,6.906,62.879,59.766,66.213,51.901,48.888,55.102,11.984,11.075,12.759,5.032,4.641,5.325,58.957,40.802,1397.103,75.592,52.846,144.266,180.512,105.372,313.637,374.257,248.539,150.287,195.837,101.294,268.266,329.563,203.017,-65.846,-1.6
8221,Medium,Bangladesh,,50,BGD,BD,50.0,Country/Area,5501,2022.0,170297.594,171186.372,84859.213,86327.159,1315.099,98.3,26.666,2087.541,12.184,1777.557,1.038,66.777,2994.966,599.745,17.48,1.95,0.918,25.724,105,907.425,512.689,394.737,5.296,73.698,71.514,76.012,60.856,58.816,63.008,15.938,14.723,17.206,7.071,6.406,7.686,61.062,20.375,2940.527,75.696,25.24,57.432,62.335,52.446,144.035,174.223,114.489,58.021,68.873,48.042,118.319,146.961,90.629,-309.977,-1.809
8300,Medium,Bhutan,,64,BTN,BT,64.0,Country/Area,5501,2022.0,779.965,782.455,413.93,368.525,20.38,112.321,28.774,4.676,5.976,4.98,0.636,108.985,9.648,0.639,12.332,1.398,0.659,28.77,104.8,4.972,2.815,2.158,6.356,72.229,70.57,74.152,59.298,57.844,60.998,14.581,13.721,15.524,6.102,5.756,6.442,0.199,20.658,9.469,0.239,24.595,54.97,61.758,47.502,156.041,177.816,130.807,57.468,64.24,49.515,131.251,150.61,108.65,0.3,0.383
8379,Medium,India,,356,IND,IN,356.0,Country/Area,5501,2022.0,1412319.817,1417173.173,731180.498,685992.675,476.651,106.587,27.903,10194.012,7.193,9706.711,0.685,101.189,23056.027,988.117,16.267,2.011,0.918,27.967,107.5,12862.015,6968.129,5893.887,9.074,67.744,66.257,69.384,55.323,53.741,57.07,13.116,12.369,13.863,6.029,5.648,6.343,607.065,26.308,22519.905,749.834,32.41,79.643,85.698,73.067,240.983,270.987,208.267,93.639,110.935,74.789,211.29,242.879,176.792,-487.303,-0.344
8616,Medium,Nepal,,524,NPL,NP,524.0,Country/Area,5501,2022.0,30371.951,30547.58,14646.246,15901.334,207.551,92.107,24.037,413.27,13.514,351.258,1.15,60.274,616.657,99.581,20.165,2.008,0.944,25.741,105,203.387,107.888,95.5,6.651,70.484,68.608,72.364,57.605,55.922,59.266,13.896,13.054,14.69,5.835,5.508,6.087,12.528,20.332,605.385,15.024,24.455,65.881,75.76,56.699,185.603,215.232,156.878,74.525,86.913,63.706,160.278,187.801,134.04,-62.012,-2.028
8695,Medium,Pakistan,,586,PAK,PK,586.0,Country/Area,5501,2022.0,233523.612,235824.862,118960.88,116863.982,305.916,101.794,20.381,4768.488,20.212,4602.501,1.952,35.51,6424.944,503.294,27.233,3.41,1.535,28.59,105.5,1656.456,928.595,727.861,7.021,66.431,64.134,68.918,56.246,54.214,58.43,13.027,12.016,14.034,5.412,4.988,5.785,332.277,51.791,6155.881,400.749,62.647,105.547,119.599,90.859,235.934,274.193,195.719,81.854,98.691,64.571,179.348,215.259,142.105,-165.988,-0.704
8932,Medium,Brunei Darussalam,,96,BRN,BN,96.0,Country/Area,920,2022.0,447.189,449.002,232.205,216.797,77.884,107.107,32.295,3.62,8.062,3.625,0.807,85.892,6.058,0.155,13.493,1.764,0.831,30.545,107.7,2.438,1.398,1.04,5.431,74.551,72.509,76.791,60.551,58.558,62.733,15.552,14.173,16.926,6.785,6.093,7.323,0.056,9.301,6.009,0.068,11.172,37.508,43.058,31.444,132.069,153.752,108.117,52.172,60.394,43.104,120.067,141.119,96.839,0,0
9011,Medium,Cambodia,,116,KHM,KH,116.0,Country/Area,920,2022.0,16680.606,16767.842,8299.527,8468.316,92.622,98.007,26.805,204.467,12.184,174.473,1.041,66.585,318.335,33.527,18.969,2.322,1.084,27.445,105.2,113.868,60.664,53.203,6.785,69.896,67.117,72.622,57.238,54.767,59.598,14.434,13.248,15.289,6.178,5.584,6.541,6.558,20.586,312.448,7.84,24.489,84.446,105.69,62.72,203.685,245.828,159.187,93.449,117.458,68.888,175.783,214.495,135.442,-29.998,-1.787
9090,Medium,Indonesia,,360,IDN,ID,360.0,Country/Area,920,2022.0,274616.289,275501.339,138703.277,136798.063,144.171,101.393,29.634,1820.09,6.606,1770.1,0.643,107.799,4462.212,360.271,16.196,2.153,1.004,28.585,106.1,2642.122,1407.703,1234.419,9.59,68.25,66.181,70.437,55.01,53.048,57.074,12.388,11.103,13.578,5.21,4.633,5.599,79.17,17.729,4392.068,95.751,21.379,67.275,74.634,59.467,222.441,254.031,189.426,90.775,101.8,79.237,201.714,232.302,169.934,-49.997,-0.181
9248,Medium,Malaysia,9,458,MYS,MY,458.0,Country/Area,920,2022.0,33751.399,33938.221,17341.833,16596.389,103.297,104.492,30.328,324.652,9.573,373.645,1.101,62.956,509.232,11.869,15.016,1.787,0.854,31.001,106.6,184.58,106.968,77.612,5.443,76.26,73.955,78.799,61.886,59.613,64.386,16.569,15.445,17.688,7.617,7.079,8.08,3.011,5.909,506.637,3.552,6.96,25.953,32.771,18.633,117.601,152.286,79.952,44.277,59.542,27.577,110.159,144.508,72.917,48.997,1.445
9406,Medium,Philippines,,608,PHL,PH,608.0,Country/Area,920,2022.0,114666.324,115559.009,58679.278,56879.731,385.197,103.164,24.734,1855.368,16.05,1785.37,1.545,44.864,2499.081,253.257,21.618,2.725,1.265,28.64,107.7,643.713,341.95,301.763,5.568,72.187,70.218,74.174,59.347,57.606,61.07,14.653,13.597,15.561,6.173,5.7,6.465,53.917,21.586,2450.775,63.95,25.673,56.567,64.66,47.911,157.174,182.628,130.385,57.811,66.164,48.998,131.311,154.088,107.629,-69.996,-0.606
9485,Medium,Singapore,,702,SGP,SG,702.0,Country/Area,920,2022.0,5955.901,5975.689,3125.086,2850.602,8749.178,109.629,42.315,12.579,2.109,39.575,0.662,104.705,42.333,0.303,7.1,1.035,0.5,31.95,106,29.754,16.822,12.932,4.991,84.133,81.981,86.295,69.344,67.203,71.492,21.626,19.915,23.17,10.691,9.53,11.498,0.07,1.657,42.273,0.096,2.196,7.394,8.868,5.725,46.347,58.035,32.936,14.201,17.927,10.055,43.898,55.418,30.666,26.998,4.528
9564,Medium,Thailand,,764,THA,TH,764.0,Country/Area,920,2022.0,71640.251,71697.03,34806.096,36890.933,140.338,94.349,39.741,94.556,1.319,113.557,0.158,...,631.239,63.021,8.806,1.317,0.628,28.195,106.4,536.683,311.311,225.372,7.487,79.68,75.473,83.929,65.515,61.351,69.704,21.354,19.054,23.373,11.642,10.042,12.826,4.493,7.097,627.364,5.336,8.359,41.303,56.611,25.477,128.939,180.047,78.56,62.686,91.333,33.871,119.496,170.13,69.796,18.999,0.265
9643,Medium,Timor-Leste,,626,TLS,TL,626.0,Country/Area,920,2022.0,1331.648,1341.296,683.957,657.338,90.201,104.05,20.574,24.292,18.076,19.296,1.439,48.169,33.074,2.538,24.611,3.047,1.389,29.459,107.1,8.782,4.74,4.042,6.535,69.056,67.435,70.815,57.172,55.814,58.637,13.761,13.019,14.475,5.779,5.509,6.013,1.02,30.851,32.187,1.256,38.112,82.651,91.197,73.595,205.447,229.61,178.717,79.842,88.293,70.987,168.586,189.894,145.103,-5,-3.72
9722,Medium,Viet Nam,,704,VNM,VN,704.0,Country/Area,920,2022.0,97842.283,98186.856,48501.287,49685.569,313.287,97.616,32.398,771.853,7.858,689.146,0.702,98.739,1442.809,118.08,14.689,1.941,0.894,27.393,111.1,670.956,379.206,291.75,6.831,74.58,69.927,79.29,61.507,57.158,65.803,17.323,14.768,19.348,7.998,6.371,8.873,21.651,14.988,1423.035,27.991,19.236,66.004,91.525,38.883,151.357,208.388,91.773,70.637,102.044,37.847,128.483,181.797,73.932,-82.7,-0.842
9959,Medium,Azerbaijan,10,31,AZE,AZ,31.0,Country/Area,922,2022.0,10329.61,10358.074,5110.847,5247.226,125.312,97.401,31.925,56.937,5.497,56.928,0.55,126.027,123.673,13.432,11.941,1.66,0.762,25.715,112.2,66.736,35.613,31.123,6.444,73.488,70.55,76.249,60.069,57.185,62.745,15.282,13.739,16.467,6.575,5.904,6.953,2.036,16.409,121.879,2.357,18.755,50.81,63.04,38.123,143.552,186.546,102.413,59.086,80.433,37.978,124.68,167.136,84.492,0,0
10038,Medium,Bahrain,,48,BHR,BH,48.0,Country/Area,922,2022.0,1465.626,1472.233,912.199,560.034,1880.246,162.883,33.302,13.216,8.978,13.214,0.898,77.188,16.861,0.352,11.454,1.797,0.873,29.894,103.9,3.645,2.215,1.43,2.476,79.246,78.242,80.497,64.822,63.837,66.054,17.399,16.535,18.415,7.324,6.798,7.825,0.091,5.385,16.783,0.112,6.473,15.023,16.393,13.324,62.952,66.8,57.29,19.446,20.367,18.331,55.988,59.533,50.631,0,0
10117,Medium,Cyprus,11,196,CYP,CY,196.0,Country/Area,922,2022.0,1247.08,1251.488,626.775,624.713,135.442,100.33,38.071,3.811,3.052,8.817,0.705,98.319,12.517,0.209,10.023,1.311,0.632,31.736,106.5,8.706,4.506,4.2,6.971,81.889,80.068,83.673,67.125,65.314,68.897,19.681,18.372,20.895,9.032,8.339,9.566,0.027,2.128,12.494,0.032,2.498,9.388,11.833,6.705,55.115,68.426,42.17,17.677,22.377,12.833,52.321,65.481,39.545,5,4.003
10196,Medium,Georgia,12,268,GEO,GE,268.0,Country/Area,922,2022.0,3753.319,3744.385,1760.001,1984.385,53.884,88.692,36.462,-7.865,-2.098,-17.867,-0.477,...,49.106,3.035,13.099,2.063,0.984,28.27,106.7,56.971,29.177,27.794,15.197,71.587,66.76,76.461,57.295,52.489,62.132,13.652,10.946,15.779,5.816,4.466,6.487,0.402,8.157,48.759,0.45,9.113,39.036,55.078,22.711,176.213,262.107,93.666,72.075,111.48,33.556,167.922,253.884,85.587,-9.999,-2.667
10275,Medium,Iraq,,368,IRQ,IQ,368.0,Country/Area,922,2022.0,43996.169,44496.122,22290.37,22205.751,102.495,100.381,20.013,1005.918,22.602,999.905,2.247,30.848,1203.188,136.987,27.035,3.445,1.621,28.824,105.7,197.27,103.348,93.922,4.433,71.336,69.162,73.362,58.134,56.111,59.98,13.757,12.526,14.721,5.701,5.117,6.053,21.206,17.646,1183.936,25.657,21.463,52.744,60.984,44.152,165.657,195.696,136.645,61.417,72.334,50.409,144.043,172.343,117.115,-6,-0.135
10433,Medium,Jordan,,400,JOR,JO,400.0,Country/Area,922,2022.0,11256.19,11285.869,5846.915,5438.953,127.102,107.501,23.716,200.547,17.659,59.357,0.526,131.777,245.484,13.483,21.616,2.786,1.33,29.647,104.9,44.937,26.298,18.639,3.957,74.215,72.12,76.675,60.442,58.421,62.822,14.71,13.252,16.305,6.159,5.325,6.864,3.054,12.444,242.668,3.534,14.419,33.171,36.796,29.283,119.407,141.692,93.692,39.619,45.626,32.864,104.51,125.826,79.84,-141.192,-12.432
10512,Medium,Kuwait,,414,KWT,KW,414.0,Country/Area,922,2022.0,4247.7,4268.873,2595.948,1672.926,239.582,155.174,39.129,30.349,7.121,42.346,0.992,69.874,41.456,0.585,9.727,2.092,1.013,29.488,104.8,11.107,8.078,3.029,2.606,80.264,78.878,82.752,65.964,64.644,68.384,18.214,17.254,19.901,7.875,7.311,8.581,0.279,6.681,41.217,0.344,7.985,14.716,18.368,10.514,54.977,64.994,37.406,15.197,19.14,9.462,46.587,55.721,29.964,11.999,2.815
10670,Medium,Oman,,512,OMN,OM,512.0,Country/Area,922,2022.0,4543.281,4576.298,2785.494,1790.804,14.786,155.544,28.914,66.032,14.427,66.034,1.443,48.035,81.043,1.258,17.706,2.567,1.236,31.355,104.3,15.011,9.287,5.724,3.279,73.935,72.356,76.046,59.796,58.294,61.827,14.036,12.907,15.254,5.619,4.97,6.204,0.693,8.585,80.439,0.842,10.286,28.663,33.652,21.361,116.279,130.884,90.66,39.361,45.276,28.943,105.735,119.304,81.128,0,0
10749,Medium,Qatar,,634,QAT,QA,634.0,Country/Area,922,2022.0,2684.33,2695.122,1954.233,740.889,232.619,263.768,33.607,21.587,8.011,21.584,0.801,86.535,24.497,0.309,9.091,1.781,0.867,30.222,103.9,2.91,2.119,0.791,1.08,81.559,80.626,83.101,67.095,66.206,68.592,19.127,18.315,20.339,8.324,7.809,8.944,0.123,4.966,24.392,0.151,5.969,12.127,13.574,9.911,47.12,49.893,40.538,13.427,14.221,11.918,40.751,42.922,34.776,0,0
10828,Medium,Saudi Arabia,,682,SAU,SA,682.0,Country/Area,922,2022.0,36136.551,36408.82,20979.233,15429.586,16.937,135.968,30.22,515.533,14.167,544.538,1.496,46.333,615.69,15.53,16.919,2.393,1.148,30.872,105.1,100.157,64.054,36.103,2.752,77.905,76.666,79.525,63.531,62.293,65.152,17.53,16.472,18.654,7.704,7.214,8.234,3.406,5.517,612.763,4.153,6.679,24.807,27.079,22.256,96.495,102.973,83.921,36.752,39.531,33.062,89.009,95.414,76.466,28.998,0.797
10907,Medium,State of Palestine,13,275,PSE,PS,275.0,Country/Area,922,2022.0,5189.966,5250.072,2619.454,2630.619,872.105,99.576,19.4,125.205,23.836,120.212,2.29,30.268,145.449,11.728,27.69,3.436,1.635,28.702,105.1,20.244,11.264,8.98,3.854,73.444,71.024,75.948,59.841,57.497,62.255,14.497,12.905,16.022,6.095,5.247,6.719,2.019,13.882,143.596,2.385,16.423,38.355,43.8,32.803,131.968,160.766,103.79,44.523,53.219,36.127,115.051,142.898,88.008,-5,-0.952
